BeazleyNumber,MuseumID,Shape,Findspot,Comments,Pleiades ID
203032,Roman Market,Pelike,N/A,Theseus attacking a man,N/A
203033,Dresden,Pelike,Nola,Dionysos,432981
203034,Villa Giulia,Psykter,Cerveteri,Theseus and Minotaur,422859
203035,Utrecht,Hydria,N/A,Women washing,N/A
203036,London,Hydria,Vulci,Zeus and Giant + Athena and Giant,413393
203037,Once Pembrooke (now unknown),Hydria,N/A,Deities with Nike,N/A
203038,Louvre,Hydria,Vulci,Peleus and Thetis,413393
203039,Munich,Hydria,N/A,Menelaos and Helen,N/A
203040,Villa Giulia,Hydria,N/A,Two women dancing,N/A
203041,Athens,Pot Fragment,Athens,Ajax and Cassandra,579885
203042,Athens,Pot Fragment,Athens,Centauromachy,579885
203043,Athens,Pot Fragment,Athens,Hand,579885
203044,Athens,Pot Fragment,Athens,Woman holding shield and spear + Thetis and Achilles,579885
203045,Athens,Pot Fragment,Athens,Man,579885
203046,Athens,Pot Fragment,Athens,Youth,579885
203047,Athens,Pot Fragment,Athens,Middle of a clothed figure + arm,579885
203048,Athens,Pot Fragment,Athens,Dionysos and satyr,579885
203049,Athens,Pot Fragment,Athens,Woman,579885
203050,Bonn,Pot Fragment,Greece,Citharode,N/A
203051,Taranto,Pot Fragment,Taranto,Feet + pattern border,442621
203052,Florence,Pot Fragment,N/A,legs of a naked male (athlete),N/A
203053,Florence,Pot Fragment,N/A,N/A,N/A
203054-5,Florence,Pot Fragment,N/A,right hand fragment and a left hand fragment,N/A
203056,Florence,Pot Fragment,N/A,Male and woman,N/A
203057-9,Florence,Pot Fragment,N/A,Right handed figure with himation of one to the right,N/A
203060,Villa Giulia,Pot Fragment,Cerverti,Youth,422859
203061,Athens,Pot Fragment,Athens,Head,579885
203062,Naples,Pot Fragment,N/A,Athena's right arm,N/A
203063,Prague,Pot Fragment,Greece,male and woman running to the right,N/A
203064,Oxford,Pot Fragment,N/A,Head and shoulder of youth,N/A
